corridor_id,corridor_name,district,slope_deg,elevation_m,static_susceptibility_P_S,simulation_scenario,dynamic_hazard_P_D,coupled_risk_score,alert_tier,action_summary
CORR_01,NH-40 (Guwahati - Shillong Economic Lifeline),Ri-Bhoi / East Khasi Hills,31.37,310.0,0.647,Scenario 1: Baseline Dry / Low Rain,0.0144,0.0093,Level 1: Green,No immediate action required. Routine meteorological monitoring.
CORR_01,NH-40 (Guwahati - Shillong Economic Lifeline),Ri-Bhoi / East Khasi Hills,31.37,310.0,0.647,Scenario 2: Active Monsoon Storm Burst,0.6284,0.4066,Level 4: Red,"High danger of slope failure. Deploy emergency teams, trigger road closures."
CORR_01,NH-40 (Guwahati - Shillong Economic Lifeline),Ri-Bhoi / East Khasi Hills,31.37,310.0,0.647,Scenario 3: Catastrophic Cloudburst Event,0.3826,0.2476,Level 3: Orange,Issue public travel advisories. Restrict heavy traffic on unstable corridors.
CORR_02,NH-44 / NH-6 (Shillong - Jowai - Silchar Link),East Khasi Hills / East Jaintia Hills,21.34,360.0,0.797,Scenario 1: Baseline Dry / Low Rain,0.0144,0.0115,Level 1: Green,No immediate action required. Routine meteorological monitoring.
CORR_02,NH-44 / NH-6 (Shillong - Jowai - Silchar Link),East Khasi Hills / East Jaintia Hills,21.34,360.0,0.797,Scenario 2: Active Monsoon Storm Burst,0.6284,0.5009,Level 4: Red,"High danger of slope failure. Deploy emergency teams, trigger road closures."
CORR_02,NH-44 / NH-6 (Shillong - Jowai - Silchar Link),East Khasi Hills / East Jaintia Hills,21.34,360.0,0.797,Scenario 3: Catastrophic Cloudburst Event,0.3826,0.305,Level 3: Orange,Issue public travel advisories. Restrict heavy traffic on unstable corridors.
CORR_03,Shillong - Sohra (Cherrapunji Tourism Corridor),East Khasi Hills,37.75,542.0,0.6023,Scenario 1: Baseline Dry / Low Rain,0.0144,0.0087,Level 1: Green,No immediate action required. Routine meteorological monitoring.
CORR_03,Shillong - Sohra (Cherrapunji Tourism Corridor),East Khasi Hills,37.75,542.0,0.6023,Scenario 2: Active Monsoon Storm Burst,0.6284,0.3785,Level 4: Red,"High danger of slope failure. Deploy emergency teams, trigger road closures."
CORR_03,Shillong - Sohra (Cherrapunji Tourism Corridor),East Khasi Hills,37.75,542.0,0.6023,Scenario 3: Catastrophic Cloudburst Event,0.3826,0.2305,Level 3: Orange,Issue public travel advisories. Restrict heavy traffic on unstable corridors.
CORR_04,Tura - Williamnagar Highway Corridor,Garo Hills Block,13.84,73.0,0.9137,Scenario 1: Baseline Dry / Low Rain,0.0144,0.0132,Level 1: Green,No immediate action required. Routine meteorological monitoring.
CORR_04,Tura - Williamnagar Highway Corridor,Garo Hills Block,13.84,73.0,0.9137,Scenario 2: Active Monsoon Storm Burst,0.6284,0.5742,Level 4: Red,"High danger of slope failure. Deploy emergency teams, trigger road closures."
CORR_04,Tura - Williamnagar Highway Corridor,Garo Hills Block,13.84,73.0,0.9137,Scenario 3: Catastrophic Cloudburst Event,0.3826,0.3496,Level 3: Orange,Issue public travel advisories. Restrict heavy traffic on unstable corridors.
CORR_05,Nongstoin - Mawkyrwat Road Section,West Khasi Hills Block,23.23,38.0,0.9259,Scenario 1: Baseline Dry / Low Rain,0.0144,0.0133,Level 1: Green,No immediate action required. Routine meteorological monitoring.
CORR_05,Nongstoin - Mawkyrwat Road Section,West Khasi Hills Block,23.23,38.0,0.9259,Scenario 2: Active Monsoon Storm Burst,0.6284,0.5818,Level 4: Red,"High danger of slope failure. Deploy emergency teams, trigger road closures."
CORR_05,Nongstoin - Mawkyrwat Road Section,West Khasi Hills Block,23.23,38.0,0.9259,Scenario 3: Catastrophic Cloudburst Event,0.3826,0.3543,Level 4: Red,"High danger of slope failure. Deploy emergency teams, trigger road closures."
